"Year","Region","Zone","Site","Total.Fish.Densit_mean","Fish.Species.richness_mean","Grazers_mean","Corallivores_mean","SCI_mean","SCI_SE","LCC_mean","LCC_SE","LHC_mean","LHC_SE","MAC_mean"
1999,"Whitsunday","NTR 1987","HG1",NA,NA,NA,NA,8.5,0.5,73.6,4.3,61.6,5.7,0
1999,"Whitsunday","NTR 1987","HG2",NA,NA,NA,NA,4.6,0.4,68,5.1,41.6,6.8,9.6
1999,"Whitsunday","NTR 1987","HG3",NA,NA,NA,NA,8.5,0.1,68.8,4.5,33.6,2,13.6
1999,"Whitsunday","NTR 1987","HG4",NA,NA,NA,NA,6.8,0.5,46.4,7.4,37.6,6.8,0
1999,"Whitsunday","NTR 1987","HG5",NA,NA,NA,NA,5,0.4,57.6,4.1,31.2,3.4,0.8
1999,"Whitsunday","NTR 1987","HG6",NA,NA,NA,NA,8.4,0.4,47.2,4.3,36,4.9,0
2000,"Palm","Fished","PE1",NA,NA,NA,NA,13,3.4,72.8,7.7,26.4,5.5,0
2000,"Palm","Fished","PE2",NA,NA,NA,NA,23,1.2,81.6,4.1,63.2,3.9,0
2000,"Palm","Fished","PE3",NA,NA,NA,NA,21.4,2.2,60.8,2.7,50.4,3.7,0
2000,"Palm","Fished","PE4",NA,NA,NA,NA,14.2,1.6,80.8,3.2,61.6,6.1,0
2000,"Palm","Fished","PE5",NA,NA,NA,NA,17.4,3.2,52.8,8.3,40.8,7.1,0
2000,"Palm","Fished","PE6",NA,NA,NA,NA,14,2.5,49.6,5.5,35.2,4.5,0
2000,"Palm","Fished","PS1",NA,NA,NA,NA,10.6,2,41.6,5.2,16.8,5.7,0
2000,"Palm","Fished","PS2",NA,NA,NA,NA,9.6,0.6,59.2,3.4,52.8,3.4,12
2000,"Palm","Fished","PS3",NA,NA,NA,NA,14.4,1,40.8,0.8,18.4,3.7,16.8
2000,"Palm","Fished","PS4",NA,NA,NA,NA,4.8,0.8,28,8.4,14.4,5.9,6.4
2000,"Palm","Fished","PS5",NA,NA,NA,NA,24,1,56.8,7.7,40.8,6.1,12
2000,"Palm","Fished","PS6",NA,NA,NA,NA,20.8,3.1,48,3.3,25.6,4.7,16
2000,"Palm","NTR 1987","OE1",NA,NA,NA,NA,8.4,1.1,76.8,4.3,21.6,2.4,0
2000,"Palm","NTR 1987","OE2",NA,NA,NA,NA,8.8,1,83.2,2.7,27.2,4.5,0
2000,"Palm","NTR 1987","OE3",NA,NA,NA,NA,7.8,1.4,71.2,4.5,32,3.3,0
2000,"Palm","NTR 1987","OE4",NA,NA,NA,NA,22,2,91.2,6,52,7.2,0
2000,"Palm","NTR 1987","OE5",NA,NA,NA,NA,12.8,0.8,79.2,5,43.2,4.3,0
2000,"Palm","NTR 1987","OE6",NA,NA,NA,NA,24,1,90.4,1.6,48.8,8.1,0
2000,"Palm","NTR 1987","OS1",NA,NA,NA,NA,9.6,0.6,41.6,5,36,2.8,16
2000,"Palm","NTR 1987","OS2",NA,NA,NA,NA,8.4,1.1,48,5.4,31.2,4.6,0.8
2000,"Palm","NTR 1987","OS3",NA,NA,NA,NA,9,0.9,52,5.7,20.8,2.3,0.8
2000,"Palm","NTR 1987","OS4",NA,NA,NA,NA,4,0,31.2,2.9,21.6,3.7,12
2000,"Palm","NTR 1987","OS5",NA,NA,NA,NA,17.6,1,62.4,3,30.4,6.5,5.6
2000,"Palm","NTR 1987","OS6",NA,NA,NA,NA,3.4,0.9,62.4,7.5,10.4,3.2,10.4
2001,"Palm","Fished","PE1",NA,NA,NA,NA,9.1,0.3,58.4,6.3,28,5.1,0
2001,"Palm","Fished","PE2",NA,NA,NA,NA,23.4,0.7,65.6,3.2,55.2,4.3,9.6
2001,"Palm","Fished","PE3",NA,NA,NA,NA,11.3,2,79.2,2.3,48,4.4,0
2001,"Palm","Fished","PE4",NA,NA,NA,NA,16.9,1.4,19.2,2.7,13.6,4.8,15.2
2001,"Palm","Fished","PE5",NA,NA,NA,NA,13.2,1.5,21.6,4.3,11.2,2.3,45.6
2001,"Palm","Fished","PE6",NA,NA,NA,NA,12.7,0.8,28.8,4.6,17.6,6,0
2001,"Palm","Fished","PS1",NA,NA,NA,NA,14.8,1.2,53.6,9.2,17.6,6.3,0
2001,"Palm","Fished","PS2",NA,NA,NA,NA,10.6,0.4,68,5.7,55.2,8.6,5.6
2001,"Palm","Fished","PS3",NA,NA,NA,NA,10.8,0.8,46.4,7.4,24,4.4,0.8
2001,"Palm","Fished","PS4",NA,NA,NA,NA,4.4,0.8,44.8,5.6,15.2,5.6,1.6
2001,"Palm","Fished","PS5",NA,NA,NA,NA,7,0.4,56,6.1,39.2,8.8,12
2001,"Palm","Fished","PS6",NA,NA,NA,NA,7,0.9,49.6,6.3,21.6,5,0
2001,"Palm","NTR 1987","OE1",NA,NA,NA,NA,13.2,0.6,79.2,5,33.6,5.7,0
2001,"Palm","NTR 1987","OE2",NA,NA,NA,NA,12.7,1.2,71.2,2.9,16,5.7,0.8
2001,"Palm","NTR 1987","OE3",NA,NA,NA,NA,12.2,0.7,76,7.3,25.6,4.7,0
2001,"Palm","NTR 1987","OE4",NA,NA,NA,NA,11.6,0.6,86.4,1,40.8,3.4,3.2
2001,"Palm","NTR 1987","OE5",NA,NA,NA,NA,12.3,1.7,60,6.1,31.2,7.1,0
2001,"Palm","NTR 1987","OE6",NA,NA,NA,NA,10,1,68.8,0.8,44.8,4.6,18.4
2001,"Palm","NTR 1987","OS1",NA,NA,NA,NA,15.7,1,48,7,44.8,6.1,1.6
2001,"Palm","NTR 1987","OS2",NA,NA,NA,NA,5.8,0.3,41.6,5.5,30.4,3.2,0
2001,"Palm","NTR 1987","OS3",NA,NA,NA,NA,11.4,0.7,48,7.4,24.8,2,0
2001,"Palm","NTR 1987","OS4",NA,NA,NA,NA,14.8,1.5,40.8,7.6,33.6,7.4,0
2001,"Palm","NTR 1987","OS5",NA,NA,NA,NA,5.3,0.5,62.4,5.3,36.8,2.3,0
2001,"Palm","NTR 1987","OS6",NA,NA,NA,NA,8.4,1.5,64,7,4.8,0.8,0.8
2001,"Whitsunday","Fished","HB1",NA,NA,NA,NA,11.4,0.8,32.8,5.3,16.8,2.3,42.4
2001,"Whitsunday","Fished","HB2",NA,NA,NA,NA,10.3,0.1,46.4,6.3,36.8,5.1,41.6
2001,"Whitsunday","Fished","HB3",NA,NA,NA,NA,9.8,0.7,63.2,4.3,33.6,5.3,17.6
2001,"Whitsunday","Fished","HB4",NA,NA,NA,NA,12.9,0.5,70.4,6.8,50.4,3.5,0
2001,"Whitsunday","Fished","HB5",NA,NA,NA,NA,12.6,1.3,86.4,3,40,7,0
2001,"Whitsunday","Fished","HB6",NA,NA,NA,NA,12.5,2.5,70.4,5.9,50.4,3.7,0
2001,"Whitsunday","Fished","W1",NA,NA,NA,NA,6,0,72,3.8,48,6.7,0
2001,"Whitsunday","Fished","W2",NA,NA,NA,NA,6.4,0.9,80,1.8,40.8,4.1,1.6
2001,"Whitsunday","Fished","W3",NA,NA,NA,NA,8.3,0.3,74.4,7.5,36.8,10.2,15.2
2001,"Whitsunday","Fished","W4",NA,NA,NA,NA,7.4,0.7,18.4,3.7,7.2,2,48
2001,"Whitsunday","Fished","W5",NA,NA,NA,NA,6.8,0.4,48,8.5,44,7.7,13.6
2001,"Whitsunday","Fished","W6",NA,NA,NA,NA,4.2,0.2,16,6.1,7.2,2.3,66.4
2001,"Whitsunday","NTR 1987","B1",NA,NA,NA,NA,5.6,0.4,65.6,4.8,43.2,1.5,0
2001,"Whitsunday","NTR 1987","B2",NA,NA,NA,NA,8,0.7,57.6,7.4,40.8,7.1,0
2001,"Whitsunday","NTR 1987","B3",NA,NA,NA,NA,4.6,0.3,87.2,3.4,54.4,5.5,0
2001,"Whitsunday","NTR 1987","B4",NA,NA,NA,NA,11.3,2.8,86.4,4.1,68.8,2.7,0
2001,"Whitsunday","NTR 1987","B5",NA,NA,NA,NA,22.2,1.5,64,7.7,52.8,5.9,1.6
2001,"Whitsunday","NTR 1987","B6",NA,NA,NA,NA,12.8,2,41.6,5.2,26.4,8.2,0
2001,"Whitsunday","NTR 1987","HG1",NA,NA,NA,NA,12.2,0.6,33.6,3.5,20,4.9,37.6
2001,"Whitsunday","NTR 1987","HG2",NA,NA,NA,NA,20.8,1.9,64.8,4.1,37.6,3,17.6
2001,"Whitsunday","NTR 1987","HG3",NA,NA,NA,NA,22.8,1.6,61.6,4.5,35.2,5.4,16
2001,"Whitsunday","NTR 1987","HG4",NA,NA,NA,NA,17.5,1.3,83.2,2.9,68.8,6,6.4
2001,"Whitsunday","NTR 1987","HG5",NA,NA,NA,NA,18.3,2.2,55.2,5.9,35.2,3.4,20.8
2001,"Whitsunday","NTR 1987","HG6",NA,NA,NA,NA,15.3,0.8,31.2,2.9,18.4,3.7,36
2002,"Keppel","Fished","GK1",NA,NA,NA,NA,5.8,1,17.6,4.1,16.8,3.4,52
2002,"Keppel","Fished","GK2",NA,NA,NA,NA,7.9,1,64,3.3,56.8,3.7,0
2002,"Keppel","Fished","GK3",NA,NA,NA,NA,4.4,0.4,63.2,5.9,63.2,5.9,0.8
2002,"Keppel","Fished","GK4",NA,NA,NA,NA,6.5,0.3,55.2,4.1,54.4,4.1,2.4
2002,"Keppel","Fished","GK7",NA,NA,NA,NA,7.5,1,22.4,7.9,22.4,7.9,0
2002,"Keppel","Fished","GK8",NA,NA,NA,NA,7,0.6,68,6.3,68,6.3,4.8
2002,"Keppel","NTR 1987","H1",NA,NA,NA,NA,12,1.3,74.4,3,72.8,3.4,0
2002,"Keppel","NTR 1987","H2",NA,NA,NA,NA,5.8,0.2,76,6.3,74.4,6.1,0
2002,"Keppel","NTR 1987","M1",NA,NA,NA,NA,3.8,0.2,55.2,7.4,55.2,7.4,24.8
2002,"Keppel","NTR 1987","M2",NA,NA,NA,NA,1.5,0.4,70.4,10,70.4,10,0
2002,"Keppel","NTR 1987","M3",NA,NA,NA,NA,5.6,0.3,80,4.6,79.2,5.3,0
2002,"Keppel","NTR 1987","M4",NA,NA,NA,NA,7.2,0.5,21.6,6.1,21.6,6.1,0
2002,"Palm","Fished","PE1",NA,NA,NA,NA,10.2,0.4,44.8,7.2,10.4,4.8,0
2002,"Palm","Fished","PE2",NA,NA,NA,NA,13,0.6,65.6,3.2,55.2,4.3,9.6
2002,"Palm","Fished","PE3",NA,NA,NA,NA,11.7,1.4,59.2,5.9,42.4,8.2,0
2002,"Palm","Fished","PE4",NA,NA,NA,NA,10,3.1,28.8,7.1,24.8,8,0
2002,"Palm","Fished","PE5",NA,NA,NA,NA,9.7,0.6,28.8,2.9,16.8,4.1,0
2002,"Palm","Fished","PE6",NA,NA,NA,NA,9.5,0.7,13.6,5,6.4,4.5,0
2002,"Palm","Fished","PS1",NA,NA,NA,NA,18.8,2.1,55.2,6.5,15.2,4.8,0
2002,"Palm","Fished","PS2",NA,NA,NA,NA,24,0.4,40.8,1.5,35.2,2.3,2.4
2002,"Palm","Fished","PS3",NA,NA,NA,NA,15.9,1,44,7.2,31.2,7.4,0.8
2002,"Palm","Fished","PS4",NA,NA,NA,NA,6.4,0.6,36,10,20.8,8.3,0
2002,"Palm","Fished","PS5",NA,NA,NA,NA,12.2,0.8,56,8.9,41.6,10.2,0
2002,"Palm","Fished","PS6",NA,NA,NA,NA,12.7,0.8,48.8,4.6,24,4.9,0
2002,"Palm","NTR 1987","OE1",NA,NA,NA,NA,12.7,0.6,52.8,5.3,20.8,3.9,0
2002,"Palm","NTR 1987","OE2",NA,NA,NA,NA,11.9,0.5,69.6,4.7,19.2,4.6,0
2002,"Palm","NTR 1987","OE3",NA,NA,NA,NA,12.9,1.2,48.8,7.4,25.6,2.7,0
2002,"Palm","NTR 1987","OE4",NA,NA,NA,NA,13.2,1.2,67.2,5.6,32,8.7,0
2002,"Palm","NTR 1987","OE5",NA,NA,NA,NA,10.1,1.5,46.4,3,21.6,5.2,0
2002,"Palm","NTR 1987","OE6",NA,NA,NA,NA,17.5,1.8,64,6.3,44.8,3.4,0
2002,"Palm","NTR 1987","OS1",NA,NA,NA,NA,19.4,0.8,18.4,1,16,1.8,0
2002,"Palm","NTR 1987","OS2",NA,NA,NA,NA,7.1,1.4,26.4,5.5,18.4,3.5,0
2002,"Palm","NTR 1987","OS3",NA,NA,NA,NA,10,1.2,65.6,4.3,28,5.4,0
2002,"Palm","NTR 1987","OS4",NA,NA,NA,NA,11.1,2.5,24,3.6,18.4,5.5,0
2002,"Palm","NTR 1987","OS5",NA,NA,NA,NA,9.8,1,44.8,8.3,23.2,4.1,0
2002,"Palm","NTR 1987","OS6",NA,NA,NA,NA,8,2.2,55.2,7.2,19.2,6.9,0
2002,"Whitsunday","Fished","HB1",NA,NA,NA,NA,17.9,1.9,36,9.7,23.2,5.9,47.2
2002,"Whitsunday","Fished","HB2",NA,NA,NA,NA,13.9,0.9,46.4,8.1,36.8,7.3,43.2
2002,"Whitsunday","Fished","HB3",NA,NA,NA,NA,7.1,0.5,57.6,6,36.8,4.3,7.2
2002,"Whitsunday","Fished","HB4",NA,NA,NA,NA,6.2,0.5,78.4,6.3,57.6,7.2,0
2002,"Whitsunday","Fished","HB5",NA,NA,NA,NA,7.8,0.6,72,4.2,30.4,7.8,16
2002,"Whitsunday","Fished","HB6",NA,NA,NA,NA,6,0,78.4,3.2,60,3.3,12.8
2002,"Whitsunday","Fished","W1",NA,NA,NA,NA,5.6,0.6,47.2,4.3,32.8,4.1,27.2
2002,"Whitsunday","Fished","W2",NA,NA,NA,NA,17.5,1.3,55.2,7.1,36,6.3,29.6
2002,"Whitsunday","Fished","W3",NA,NA,NA,NA,14.2,1.4,48.8,4.1,26.4,7,16
2002,"Whitsunday","Fished","W4",NA,NA,NA,NA,14.1,0.5,16.8,2.3,9.6,2.4,51.2
2002,"Whitsunday","Fished","W5",NA,NA,NA,NA,15.5,0.7,67.2,4.5,59.2,12,11.2
2002,"Whitsunday","Fished","W6",NA,NA,NA,NA,12.3,1.3,15.2,2.9,8,3.3,58.4
2002,"Whitsunday","NTR 1987","B1",NA,NA,NA,NA,8.2,0.3,52,5.9,26.4,4.8,12.8
2002,"Whitsunday","NTR 1987","B2",NA,NA,NA,NA,7.1,0.5,48,11.1,35.2,13.3,0
2002,"Whitsunday","NTR 1987","B3",NA,NA,NA,NA,7.5,0.8,88,5.9,77.6,5.5,0
2002,"Whitsunday","NTR 1987","B4",NA,NA,NA,NA,4.4,0.3,80,2.2,57.6,6.3,18.4
2002,"Whitsunday","NTR 1987","B5",NA,NA,NA,NA,8,0.7,70.4,6,65.6,7,0.8
2002,"Whitsunday","NTR 1987","B6",NA,NA,NA,NA,11.1,0.8,62.4,4.3,40.8,5,7.2
2002,"Whitsunday","NTR 1987","HG1",NA,NA,NA,NA,12.4,0.6,30.4,6.4,17.6,7.9,24.8
2002,"Whitsunday","NTR 1987","HG2",NA,NA,NA,NA,8.3,1.3,45.6,4.3,41.6,5.5,0
2002,"Whitsunday","NTR 1987","HG3",NA,NA,NA,NA,13.1,0.7,34.4,6.9,24.8,4.3,29.6
2002,"Whitsunday","NTR 1987","HG4",NA,NA,NA,NA,11.7,1.8,71.2,3.7,64,2.2,12
2002,"Whitsunday","NTR 1987","HG5",NA,NA,NA,NA,8.7,0.8,62.4,4.1,32.8,3.4,12
2002,"Whitsunday","NTR 1987","HG6",NA,NA,NA,NA,13.4,0.9,59.2,6.9,38.4,2.4,20
2003,"Palm","Fished","PE1",NA,NA,NA,NA,3.8,0.2,64,6.3,18.4,3.7,0.8
2003,"Palm","Fished","PE2",NA,NA,NA,NA,1.5,0.4,74.4,4.1,66.4,3.9,0
2003,"Palm","Fished","PE3",NA,NA,NA,NA,5.6,0.3,59.2,2,38.4,3,0
2003,"Palm","Fished","PE4",NA,NA,NA,NA,7.2,0.5,36.8,2,29.6,2,2.4
2003,"Palm","Fished","PE5",NA,NA,NA,NA,12,1.3,24.8,3.9,16,3.3,0
2003,"Palm","Fished","PE6",NA,NA,NA,NA,5.8,0.2,13.6,2.7,5.6,1.6,0
2003,"Palm","Fished","PS1",NA,NA,NA,NA,5.8,1,56,1.8,21.6,4.8,0
2003,"Palm","Fished","PS2",NA,NA,NA,NA,7.9,1,43.2,2.3,38.4,2.7,2.4
2003,"Palm","Fished","PS3",NA,NA,NA,NA,4.4,0.4,44,4.7,24.8,5.3,0.8
2003,"Palm","Fished","PS4",NA,NA,NA,NA,6.5,0.3,38.4,4.8,27.2,6.9,0.8
2003,"Palm","Fished","PS5",NA,NA,NA,NA,7.5,1,48,9.2,28,6.1,0.8
2003,"Palm","Fished","PS6",NA,NA,NA,NA,7,0.6,43.2,8,22.4,7.4,0
2003,"Palm","NTR 1987","OE1",NA,NA,NA,NA,6.5,1,65.6,3,21.6,2.7,0.8
2003,"Palm","NTR 1987","OE2",NA,NA,NA,NA,5.4,0.3,74.4,5,20,2.8,0
2003,"Palm","NTR 1987","OE3",NA,NA,NA,NA,9,0,72.8,3.9,19.2,2.7,0
2003,"Palm","NTR 1987","OE4",NA,NA,NA,NA,7.1,0.6,72.8,4.6,31.2,2.7,2.4
2003,"Palm","NTR 1987","OE5",NA,NA,NA,NA,11.7,2.4,47.2,5.1,18.4,4.5,0
2003,"Palm","NTR 1987","OE6",NA,NA,NA,NA,5.3,0.6,75.2,2.7,44,3.8,0
2003,"Palm","NTR 1987","OS1",NA,NA,NA,NA,8.9,0.1,42.4,3.7,40,4.6,0
2003,"Palm","NTR 1987","OS2",NA,NA,NA,NA,4.8,0.5,28,3.6,17.6,2.7,1.6
2003,"Palm","NTR 1987","OS3",NA,NA,NA,NA,6.8,0.6,52,5.2,20,2.5,0
2003,"Palm","NTR 1987","OS4",NA,NA,NA,NA,6.4,0.2,38.4,3.9,30.4,4.3,0
2003,"Palm","NTR 1987","OS5",NA,NA,NA,NA,7.6,0.5,52,6.6,24,3.1,0
2003,"Palm","NTR 1987","OS6",NA,NA,NA,NA,5.3,0.4,64,5.7,18.4,6,0
2003,"Whitsunday","Fished","HB1",NA,NA,NA,NA,9.6,0.8,30.4,9.6,16.8,6.5,22.4
2003,"Whitsunday","Fished","HB2",NA,NA,NA,NA,7.9,0.3,52,2.2,43.2,2.9,43.2
2003,"Whitsunday","Fished","HB3",NA,NA,NA,NA,9.6,1.1,60,3.8,36,5.4,6.4
2003,"Whitsunday","Fished","HB4",NA,NA,NA,NA,8.4,0.6,72,3.8,52,3.3,4.8
2003,"Whitsunday","Fished","HB5",NA,NA,NA,NA,6.9,0.4,75.2,5.4,39.2,9.2,10.4
2003,"Whitsunday","Fished","W1",NA,NA,NA,NA,15.5,1.5,60,2.2,39.2,3.9,0
2003,"Whitsunday","Fished","W2",NA,NA,NA,NA,11.4,0.7,55.2,5.9,32,2.8,0
2003,"Whitsunday","Fished","W3",NA,NA,NA,NA,13.1,0.5,36,8.7,14.4,5.9,25.6
2003,"Whitsunday","Fished","W4",NA,NA,NA,NA,11.3,0.7,29.6,5.3,17.6,3.5,43.2
2003,"Whitsunday","Fished","W5",NA,NA,NA,NA,13.6,0.6,61.6,4.1,60,5.2,8.8
2003,"Whitsunday","Fished","W6",NA,NA,NA,NA,8.6,1.2,16,4.2,14.4,3.5,67.2
2003,"Whitsunday","NTR 1987","B1",NA,NA,NA,NA,13.8,0.5,72.8,6.6,36.8,5,0
2003,"Whitsunday","NTR 1987","B2",NA,NA,NA,NA,11,0.7,81.6,4.5,51.2,6.5,2.4
2003,"Whitsunday","NTR 1987","B3",NA,NA,NA,NA,12,0.6,87.2,4.8,67.2,5.6,4.8
2003,"Whitsunday","NTR 1987","B4",NA,NA,NA,NA,13.8,1.3,72.8,3.4,50.4,10.4,0
2003,"Whitsunday","NTR 1987","B5",NA,NA,NA,NA,16.7,1.8,65.6,3.7,50.4,7.2,0
2003,"Whitsunday","NTR 1987","B6",NA,NA,NA,NA,6.8,0.3,43.2,7,25.6,6.6,16.8
2003,"Whitsunday","NTR 1987","HG1",NA,NA,NA,NA,8.5,0.3,63.2,6,30.4,2,8.8
2003,"Whitsunday","NTR 1987","HG2",NA,NA,NA,NA,17.2,1.9,57.6,6.1,29.6,6.4,0
2003,"Whitsunday","NTR 1987","HG3",NA,NA,NA,NA,14.7,1,50.4,7.8,27.2,9.6,0
2003,"Whitsunday","NTR 1987","HG4",NA,NA,NA,NA,11.2,0.8,58.4,2.7,48,3.6,5.6
2003,"Whitsunday","NTR 1987","HG5",NA,NA,NA,NA,3.9,0.6,54.4,4.3,34.4,7.4,0
2003,"Whitsunday","NTR 1987","HG6",NA,NA,NA,NA,8.3,0.6,48,4.9,31.2,5.6,16
2003,"Whitsunday","Fished","HB6",NA,NA,NA,NA,9.8,0.7,67.2,5,45.6,4.5,0.8
2004,"Keppel","Fished","GK1",NA,NA,NA,NA,5.8,1,64.8,9.1,63.2,9.7,0.8
2004,"Keppel","Fished","GK2",NA,NA,NA,NA,7.9,1,75.2,6.1,61.6,7,0
2004,"Keppel","Fished","GK3",NA,NA,NA,NA,4.4,0.4,84.8,4.5,84,4.4,0
2004,"Keppel","Fished","GK4",NA,NA,NA,NA,6.5,0.3,63.2,5,61.6,6.5,0
2004,"Keppel","Fished","GK7",NA,NA,NA,NA,3.8,0.2,77.6,5.2,76.8,5.4,0
2004,"Keppel","Fished","GK8",NA,NA,NA,NA,1.5,0.4,73.6,3.2,68,3.3,0
2004,"Keppel","Fished","H3",NA,NA,NA,NA,7.2,0.5,80,4.9,78.4,5.2,0.8
2004,"Keppel","Fished","MI1",NA,NA,NA,NA,12,1.3,70.4,6,64,6.7,1.6
2004,"Keppel","Fished","MI2",NA,NA,NA,NA,5.8,0.2,72,4.6,44.8,9.7,0
2004,"Keppel","Fished","NK3",NA,NA,NA,NA,8.9,0.1,36.8,14.4,30.4,11.3,0
2004,"Keppel","NTR 1987","H1",NA,NA,NA,NA,6.8,0.6,74.4,3.2,74.4,3.2,0
2004,"Keppel","NTR 1987","H2",NA,NA,NA,NA,6.4,0.2,74.4,3.7,70.4,4.8,0
2004,"Keppel","NTR 1987","M1",NA,NA,NA,NA,7.6,0.5,72.8,4.5,72.8,4.5,0
2004,"Keppel","NTR 1987","M2",NA,NA,NA,NA,5.3,0.4,73.6,3.7,73.6,3.7,0
2004,"Keppel","NTR 1987","M3",NA,NA,NA,NA,6.5,1,81.6,5.2,77.6,5.5,0
2004,"Keppel","NTR 1987","M4",NA,NA,NA,NA,5.4,0.3,59.2,6.7,59.2,6.7,0
2004,"Keppel","Fished","GK5",NA,NA,NA,NA,7.5,1,64,4.2,64,4.2,3.2
2004,"Keppel","Fished","GK6",NA,NA,NA,NA,7,0.6,76.8,11.4,72.8,11.7,0
2004,"Keppel","Fished","GK9",NA,NA,NA,NA,5.6,0.3,73.6,14,73.6,14,0
2004,"Keppel","Fished","NK1",NA,NA,NA,NA,9,0,36,3.3,36,3.3,0.8
2004,"Whitsunday","Fished","BL1",NA,NA,NA,NA,19,1.4,85.6,5.3,40,7.7,0
2004,"Whitsunday","Fished","BL2",NA,NA,NA,NA,11.2,0.3,68.8,4.8,39.2,6.6,0
2004,"Whitsunday","Fished","HB7",NA,NA,NA,NA,14.3,0.9,80.8,5.1,64,8.3,0
2004,"Whitsunday","Fished","HW1",NA,NA,NA,NA,25,0,56.8,3.2,42.4,3.9,0
2004,"Whitsunday","Fished","HW2",NA,NA,NA,NA,16,0.9,59.2,3.7,55.2,2.7,0
2004,"Whitsunday","Fished","HW3",NA,NA,NA,NA,7.4,1.1,68,6.2,55.2,6.9,0
2004,"Whitsunday","Fished","HY1",NA,NA,NA,NA,10.7,2.2,73.6,3.2,57.6,4.7,0
2004,"Whitsunday","Fished","HY2",NA,NA,NA,NA,25,0,63.2,5.9,24.8,3.9,0
2004,"Whitsunday","Fished","HY3",NA,NA,NA,NA,14.4,2.5,73.6,3.9,52,7.3,0.8
2004,"Whitsunday","Fished","L1",NA,NA,NA,NA,8.9,0.4,70.4,8.3,37.6,7,0
2004,"Whitsunday","Fished","W7",NA,NA,NA,NA,13.4,1.7,63.2,6,47.2,4.6,0.8
2004,"Whitsunday","Fished","W8",NA,NA,NA,NA,11.7,0.9,66.4,3.5,42.4,6,0.8
2004,"Magnetic","Fished","AW1",217.3,14.6,18,22,11.1,1.1,46.4,4.7,46.4,4.7,14.4
2004,"Magnetic","Fished","AW2",398,16.4,28,44,5.6,0.3,46.4,6.3,46.4,6.3,8.8
2004,"Magnetic","Fished","FB1",303.3,16.4,23.3,7.3,4.8,0.3,42.4,5.2,42.4,5.2,10.4
2004,"Magnetic","Fished","GOW1",282.7,13.2,47.3,10,5.2,0.8,42.4,4.8,41.6,4.5,5.6
2004,"Magnetic","Fished","NB1",261.3,15,16.7,28.7,4.8,0.5,36,6.7,34.4,6,12
2004,"Magnetic","Fished","WC1",336.7,19.6,42,33.3,10.2,0.9,40.8,4.5,40,3.8,15.2
2004,"Magnetic","NTR 1987","GB1",215.3,16.6,26.7,11.3,7.4,0.6,40,7.3,36.8,5.4,20
2004,"Magnetic","NTR 1987","GB2",258.7,14,11.3,19.3,8.5,0.4,31.2,10.3,30.4,9.8,18.4
2004,"Palm","Fished","C4",2326.6,34,178.6,23.3,7,0.6,69.6,3.5,35.2,3.7,0.8
2004,"Palm","Fished","C5",1230,24,66,14,7.2,0.6,64,5.2,8,2.2,0
2004,"Palm","Fished","C6",1450,24.2,74,18,13.3,0.8,62.4,6,20.8,4.1,0
2004,"Palm","Fished","C1",2608,33.6,28,25.3,14.1,1,80,2.8,46.4,4.8,0
